rule key,start line,end line,severity,message,type
java:S112,90,90,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,106,106,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,257,257,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S3740,121,121,MAJOR,Provide the parametrized type for this generic.,CODE_SMELL
java:S1192,94,94,CRITICAL,Define a constant instead of duplicating this literal "%s/%s" 3 times.,CODE_SMELL
java:S1141,193,193,MAJOR,Extract this nested try block into a separate method.,CODE_SMELL
java:S1141,200,200,MAJOR,Extract this nested try block into a separate method.,CODE_SMELL
java:S4042,99,99,MAJOR,Use "java.nio.file.Files#delete" here for better messages on error conditions.,CODE_SMELL
java:S2142,211,211,MAJOR,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,BUG
java:S4042,242,242,MAJOR,Use "java.nio.file.Files#delete" here for better messages on error conditions.,CODE_SMELL
