rule key,start line,end line,severity,message,type
java:S112,615,615,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1322,1322,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1339,1339,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1402,1402,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1407,1407,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1448,1448,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1469,1469,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1485,1485,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1491,1491,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1516,1516,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1573,1573,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1719,1719,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1739,1739,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1767,1767,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1811,1811,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1817,1817,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1922,1922,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,1986,1986,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2084,2084,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2132,2132,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2144,2144,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2163,2163,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2283,2283,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2305,2305,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2424,2424,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2460,2460,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2498,2498,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2522,2522,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2768,2768,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2848,2848,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2852,2852,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,2920,2920,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,3011,3011,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,3033,3033,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,3071,3071,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,3367,3367,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,3495,3495,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S112,3537,3537,MAJOR,Define and throw a dedicated exception instead of using a generic one.,CODE_SMELL
java:S2293,177,177,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,186,186,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,698,698,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,892,892,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,963,963,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,1008,1008,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,1013,1013,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,1023,1023,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,1051,1051,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,1104,1104,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
java:S2293,1109,1109,MINOR,Replace the type specification in this constructor call with the diamond operator ("<>"). (sonar.java.source not set. Assuming 7 or greater.),CODE_SMELL
